prime_word,target_word,TargetAccuracy,RTRecogniseTarget
OUTRAGEOUS,ABSURD,1,1343
REVIEW,ADJECTIVE,1,1844
LUST,ADORE,1,1041
ENGAGE,AGAIN,1,1558
FORESIGHT,ALGEBRA,1,1757
MAGNET,ALTER,1,2089
FUSS,AMBULANCE,1,1611
RELEASE,ANCHOR,1,1844
PRECISE,ANSWER,1,1580
MANSION,APARTMENT,1,1218
NASTY,APPEARANCE,1,1749
INSTANT,APPENDAGE,1,2163
TEAPOT,APPLIANCE,1,1579
CREATIVE,ARCHITECTURE,1,1608
COOKING,ARMY,1,1618
SMOKING,ASHTRAY,1,1590
DETERGENT,ASLEEP,1,1345
SMALL,ATTENDANCE,1,1763
PERFORMANCE,AUDIENCE,1,1393
PRESENCE,AWFUL,1,1655
TEST,FLUNK,1,1667
DOCUMENT,BASSINET,1,1760
DEODORANT,BEACH,1,1321
MATTRESS,BEDROOM,1,3317
SIBLING,BELONG,1,1491
SEAFOOD,CONFERENCE,1,1862
ARENA,BOG,0,1327
SLIMY,BROOM,1,2152
CERAMICS,BULLET,1,1764
BUGGY,BUNCH,1,1874
COMPLICATED,BURDEN,1,1368
CAREER,BUTLER,1,1688
HIGHWAY,CHECKING,1,1635
RAW,CHILI,1,2862
CONE,CIRCLE,1,2143
BUILDER,TOOL,1,1216
TRANQUIL,COMFORT,1,1563
BIT,COMPASS,1,1816
KID,COMPOUND,1,1280
PROFESSION,CONTENT,1,1574
SHIP,COVERED,1,1769
BETTER,CROCHET,1,1870
RECTANGLE,CUBE,1,1296
AGENT,CUSS,1,1955
FORCE,CYLINDER,0,912
SLOW,DART,1,1703
REST,DASH,1,1453
BETRAY,DECEPTION,1,2232
DISSOLVE,DECOMPOSE,1,2147
CLOWN,DEPRESSED,1,1616
TREASON,DETECTIVE,1,1666
POPULAR,DIGESTION,1,1727
REFRAIN,DIRECTION,1,1075
LIPS,DISCUSSION,1,1981
CREATE,DISPLAY,1,1757
SNORKEL,DOWNSTREAM,1,2131
LOTTERY,DUE,1,1640
BRA,DUNK,1,2184
HUGE,DWARVES,1,1495
CELL,EARNESTNESS,0,2895
BRACELET,EARRING,1,1036
ODD,EQUAL,1,1556
SCALPEL,ERECT,1,2131
SCHEME,EXHAUSTED,1,1821
TRUTHFUL,EXPRESS,1,1459
FIGURE,FACTOR,1,1738
CHORUS,FAITH,1,1065
FRIENDLY,FANCY,1,1477
TULIP,FARMER,1,1669
HEAVY,FAT,1,1774
FELT,FAULT,1,1998
FAMINE,FEED,1,972
ZUCCHINI,FIN,1,2074
LID,FIREMAN,1,2093
HOSTILITY,FIST,0,1325
CHAMPAGNE,FLASK,1,1603
BOOKBAG,FOLD,1,1686
STRIVE,FOOLISH,1,1034
MESSAGE,FORM,1,1124
FACE,FRIENDLINESS,1,2182
SPEAKER,FRIGID,1,1737
THIEF,FRISK,1,2855
SPACE,GALAXY,1,1635
LOAF,GAMBLE,1,1045
COMPASSION,GHOUL,1,1765
SHE,CHILDREN,1,1306
PLAZA,GOODS,1,1311
WRITE,GRAFT,1,2158
FEMALE,GROOM,1,1707
ORDINARY,GUIDE,1,1309
HORMONES,GUY,1,1270
SAILOR,HARBOR,1,1704
KITTEN,HAT,1,1592
TIMID,HEIGHTS,1,1917
CHASE,HER,1,1210
TRUCK,HIGH,1,1572
PENNY,HOBO,1,1622
DROP,HOLD,1,1111
DIAMOND,HOOK,1,1386
ARIGHT,HORROR,1,1229
RIBS,HUNGRY,1,1155
EMPLOYER,INCOME,1,1665
ALLERGY,INJECTION,1,1885
BRITANNICA,INSTRUCT,1,1700
CRUDE,INSTRUMENT,1,2778
